symbol,strategy,entry_time,exit_time,entry_price,exit_price,return_pct,forced_close
ARM,vwap_meanrev,2026-08-24T13:52:19.316271+00:00,2026-08-24T15:20:12.885094+00:00,236.4199981689453,237.4499969482422,0.436,False
ROKU,vwap_meanrev,2026-08-24T14:34:13.373772+00:00,2026-08-24T16:01:00.513094+00:00,157.91000366210938,158.35000610351562,0.279,False
SNOW,vwap_meanrev,2026-08-24T19:16:12.711558+00:00,2026-08-24T19:48:29.899642+00:00,323.92999267578125,322.25,-0.519,True
AMD,vwap_meanrev,2026-08-24T19:16:13.723663+00:00,2026-08-24T19:48:30.147844+00:00,456.6679992675781,456.6099853515625,-0.013,True
GOOGL,vwap_meanrev,2026-08-24T17:54:09.851877+00:00,2026-08-24T19:48:30.346498+00:00,348.4700012207031,348.6300048828125,0.046,True
ROKU,vwap_meanrev,2026-08-25T16:54:15.819821+00:00,2026-08-25T18:51:28.857729+00:00,158.75,159.0500030517578,0.189,False
SNOW,vwap_meanrev,2026-08-25T13:51:07.303384+00:00,2026-08-25T19:54:17.822170+00:00,319.4049987792969,317.4100036621094,-0.625,False
GOOGL,vwap_meanrev,2026-08-25T15:25:23.242105+00:00,2026-08-25T19:54:18.227748+00:00,346.0199890136719,347.20001220703125,0.341,True
ARM,vwap_meanrev,2026-08-25T13:51:10.445636+00:00,2026-08-25T19:54:19.010797+00:00,245.21009826660156,242.07000732421875,-1.281,True
TSLA,orb,2026-08-25T13:51:11.334496+00:00,2026-08-25T19:54:19.230721+00:00,352.489990234375,350.4949951171875,-0.566,True
ARM,vwap_meanrev,2026-08-26T14:43:42.583335+00:00,2026-08-26T16:57:13.632363+00:00,239.92999267578125,246.88070678710938,2.897,False
ROKU,vwap_meanrev,2026-08-26T16:05:48.275215+00:00,2026-08-26T19:09:45.509684+00:00,158.78500366210938,159.3000030517578,0.324,False
AMD,vwap_meanrev,2026-08-26T16:05:47.117255+00:00,2026-08-26T21:50:26.236232+00:00,483.260009765625,481.010009765625,-0.466,True
TSLA,orb,2026-08-31T19:25:05.096651+00:00,2026-08-31T23:17:27.213356+00:00,366.5,367.9200134277344,0.387,True
GOOGL,macd_trend,2026-08-25T13:51:08.913176+00:00,2026-09-01T19:56:45.067186+00:00,348.9220886230469,334.5950012207031,-4.106,True
ROKU,vwap_meanrev,2026-09-01T17:11:41.729102+00:00,2026-09-01T19:56:45.438067+00:00,156.2100067138672,155.52000427246094,-0.442,True
ARM,vwap_meanrev,2026-09-02T17:02:06.529020+00:00,2026-09-02T19:43:59.767243+00:00,231.77000427246094,235.47999572753906,1.601,False
